NU_ANO;CO_UF_ESCOLA;SG_UF_ESCOLA;CO_MUNICIPIO_ESCOLA;NO_MUNICIPIO_ESCOLA;CO_ESCOLA_EDUCACENSO;NO_ESCOLA_EDUCACENSO;TP_DEPENDENCIA_ADM_ESCOLA;TP_LOCALIZACAO_ESCOLA;NU_MATRICULAS;NU_PARTICIPANTES_NEC_ESP;NU_PARTICIPANTES;NU_TAXA_PARTICIPACAO;NU_MEDIA_CN;NU_MEDIA_CH;NU_MEDIA_LP;NU_MEDIA_MT;NU_MEDIA_RED;NU_MEDIA_OBJ;NU_MEDIA_TOT;INSE;PC_FORMACAO_DOCENTE;NU_TAXA_PERMANENCIA;NU_TAXA_APROVACAO;NU_TAXA_REPROVACAO;NU_TAXA_ABANDONO;PORTE_ESCOLA
2015;35;SP;3552205;Sorocaba;35016100;JOSE ODIN DE ARRUDA PROFESSOR;2;1;75;1;39;52,00;463,85;540,12;505,36;466,88;522,56;NA;NA;Grupo 5;71,3;69,23;89,1;9,0;1,9;De 61 a 90 alunos
2015;35;SP;3552205;Sorocaba;35016111;GENESIO MACHADO PROFESSOR;2;1;223;0;155;69,51;467,82;547,79;512,48;456,69;525,81;NA;NA;Grupo 4;78,9;74,19;93,4;4,9;1,7;Maior que 90 alunos
2015;35;SP;3552205;Sorocaba;35016135;EZEQUIEL MACHADO NASCIMENTO PROFESSOR;2;1;222;0;134;60,36;475,38;550,78;517,45;465,58;519,70;NA;NA;Grupo 5;76,1;88,06;97,1;2,9;0,0;Maior que 90 alunos
2015;35;SP;3552205;Sorocaba;35016159;VERGUEIRO SENADOR;2;1;118;0;81;68,64;466,75;542,51;503,80;459,29;555,80;NA;NA;Grupo 5;85,1;76,54;94,4;4,9;0,7;Maior que 90 alunos
2015;35;SP;3552205;Sorocaba;35016160;JULIO PRESTES DE ALBUQUERQUE DOUTOR;2;1;126;0;97;76,98;466,66;562,70;524,47;473,48;558,76;NA;NA;Grupo 5;79,7;78,35;90,2;8,9;0,9;Maior que 90 alunos
2015;35;SP;3552205;Sorocaba;35016202;FRANCISCO EUPHRASIO MONTEIRO;2;1;202;0;144;71,29;472,52;561,85;519,00;469,63;563,89;NA;NA;Grupo 4;91,3;86,81;92,6;4,3;3,1;Maior que 90 alunos
2015;35;SP;3552205;Sorocaba;35016226;JOAO CLIMACO DE CAMARGO PIRES;2;1;39;0;23;58,97;450,67;548,75;509,53;479,64;459,13;NA;NA;Grupo 4;72,2;69,57;88,8;2,4;8,8;De 31 a 60 alunos
2015;35;SP;3552205;Sorocaba;35016238;FERNANDO PRESTES ETEC;2;1;181;0;167;92,27;540,13;623,95;584,03;576,02;614,49;NA;NA;Grupo 5;57,2;94,61;99,0;0,8;0,2;Maior que 90 alunos
2015;35;SP;3552205;Sorocaba;35016248;BRIGADEIRO TOBIAS;2;1;120;1;68;56,67;471,60;540,07;502,48;439,20;507,65;NA;NA;Grupo 4;71,4;80,88;93,7;3,9;2,4;Maior que 90 alunos
2015;35;SP;3552205;Sorocaba;35016251;ARTHUR CYRILLO FREIRE DOUTOR;2;1;156;1;116;74,36;474,87;557,93;511,42;496,13;531,90;NA;NA;Grupo 4;73,4;65,52;94,5;3,7;1,8;Maior que 90 alunos
2015;35;SP;3552205;Sorocaba;35016299;AGGEO PEREIRA DO AMARAL PROFESSOR;2;1;208;1;158;75,96;490,06;568,83;527,73;485,40;573,82;NA;NA;Grupo 5;83,7;71,52;86,7;10,2;3,1;Maior que 90 alunos
2015;35;SP;3552205;Sorocaba;35016305;JOSE REGINATO PROFESSOR;2;1;73;1;42;57,53;477,18;560,99;516,08;458,40;556,19;NA;NA;Grupo 4;78,1;76,19;94,8;5,2;0,0;De 61 a 90 alunos
2015;35;SP;3552205;Sorocaba;35016317;JULIO BIERRENBACH LIMA PROFESSOR;2;1;127;0;94;74,02;472,42;549,86;504,39;470,81;530,00;NA;NA;Grupo 5;83,2;71,28;95,4;3,7;0,9;Maior que 90 alunos
2015;35;SP;3552205;Sorocaba;35016330;LUIZ GONZAGA DE CAMARGO FLEURY PROFESSOR;2;1;108;0;77;71,30;483,44;557,44;512,78;481,72;516,88;NA;NA;Grupo 5;72,4;81,82;93,6;5,9;0,5;Maior que 90 alunos
2015;35;SP;3552205;Sorocaba;35016354;RUBENS DE FARIA E SOUZA ETEC;2;1;200;1;191;95,50;564,35;638,92;594,29;602,05;657,07;NA;NA;Grupo 5;55,5;76,96;95,8;3,4;0,8;Maior que 90 alunos
2015;35;SP;3552205;Sorocaba;35016378;OSSIS SALVESTRINI MENDES PROFESSORA;2;1;73;2;37;50,68;454,07;539,16;493,96;439,90;510,81;NA;NA;Grupo 4;56,0;72,97;93,0;6,0;1,0;De 61 a 90 alunos
2015;35;SP;3552205;Sorocaba;35016391;ANTONIO MIGUEL PEREIRA JUNIOR;2;1;94;0;59;62,77;470,18;534,50;502,14;448,55;501,69;NA;NA;Grupo 4;90,2;74,58;92,4;5,1;2,5;Maior que 90 alunos
2015;35;SP;3552205;Sorocaba;35016412;LUIZ NOGUEIRA MARTINS SENADOR;2;1;88;0;62;70,45;479,18;555,37;522,94;470,03;511,61;NA;NA;Grupo 4;75,8;50,00;90,5;6,8;2,7;De 61 a 90 alunos
2015;35;SP;3552205;Sorocaba;35016421;FRANCISCO COCCARO PROFESSOR;2;1;85;1;50;58,82;461,18;532,12;497,88;431,03;488,00;NA;NA;Grupo 4;63,4;78,00;90,4;7,9;1,7;De 61 a 90 alunos
2015;35;SP;3552205;Sorocaba;35016433;ANTONIO PADILHA;2;1;323;1;236;73,07;473,22;555,88;518,32;471,88;541,69;NA;NA;Grupo 4;72,3;73,73;90,3;9,1;0,6;Maior que 90 alunos
2015;35;SP;3554508;Tietê;35016469;PLINIO RODRIGUES DE MORAIS;2;1;290;1;155;53,45;453,77;531,19;487,12;457,30;496,94;NA;NA;Grupo 4;50,7;90,32;91,5;1,9;6,6;Maior que 90 alunos
2015;35;SP;3554003;Tatuí;35016494;ALTINA MAYNARDES ARAUJO PROFA;2;1;78;1;39;50,00;462,14;538,75;504,82;469,78;524,10;NA;NA;Grupo 4;58,3;76,92;85,6;9,6;4,8;De 61 a 90 alunos
2015;35;SP;3540507;Porangaba;35016512;ALDO ANGELINI;2;1;68;1;45;66,18;451,49;520,85;460,02;427,11;469,33;NA;NA;Grupo 3;60,5;93,33;87,2;8,2;4,6;De 61 a 90 alunos
2015;35;SP;3526407;Laranjal Paulista;35016559;LUIZ CAMPACCI;2;1;76;1;43;56,58;474,86;563,73;516,89;468,65;532,09;NA;NA;Grupo 4;62,5;69,77;96,5;0,9;2,6;De 61 a 90 alunos
2015;35;SP;3554656;Torre de Pedra;35016615;RENATO ANGELINI PROF;2;1;22;0;12;54,55;443,52;544,90;497,56;434,55;546,67;NA;NA;Grupo 3;50,0;75,00;88,8;10,2;1,0;De 1 a 30 alunos
2015;35;SP;3554003;Tatuí;35016724;SALES GOMES ETEC;2;1;114;0;103;90,35;550,58;618,88;573,24;592,04;629,13;NA;NA;Grupo 4;41,5;89,32;96,0;4,0;0,0;Maior que 90 alunos
